Code,Country,Alpha-2,Alpha-3
40,Austria,AT,AUT
56,Belgium,BE,BEL
100,Bulgaria,BG,BGR
191,Croatia,HR,HRV
196,Cyprus,CY,CYP
203,Czech Republic,CZ,CZE
208,Denmark,DK,DNK
233,Estonia,EE,EST
246,Finland,FI,FIN
250,France,FR,FRA
276,Germany,DE,DEU
300,Greece,GR,GRC
348,Hungary,HU,HUN
372,"Ireland, Republic of (EIRE)",IE,IRL
380,Italy,IT,ITA
428,Latvia,LV,LVA
440,Lithuania,LT,LTU
442,Luxembourg,LU,LUX
470,Malta,MT,MLT
528,Netherlands,NL,NLD
616,Poland,PL,POL
620,Portugal,PT,PRT
642,Romania,RO,ROU
703,Slovakia,SK,SVK
705,Slovenia,SI,SVN
724,Spain,ES,ESP
752,Sweden,SE,SWE
826,United Kingdom,UK,GBR
